station_id,timestamp,ebikes_available,classic_bikes_available,docks_available
2080485651052569546,2025/05/18 13:12,0,12,3
08263aa1-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,8,11
08256d91-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,5,20
1892760823152249488,2025/05/18 13:12,0,10,1
082537e4-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,2,17
6922a398-ec20-493d-a832-5e337cf335f5,2025/05/18 13:12,1,7,6
94b1507c-7f76-483c-b06a-a4131e0b5970,2025/05/18 13:12,0,5,13
0824f461-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,2,1,17
08253a4b-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,7,7
0825b553-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,0,12
1879766346478500482,2025/05/18 13:12,0,0,19
082605b0-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,4,13
1890204129337198944,2025/05/18 13:12,3,7,1
1932168474073292810,2025/05/18 13:12,0,0,18
d34d2639-ee43-4892-818f-f01116813744,2025/05/18 13:12,0,3,13
84a0159b-5f00-417a-8f06-6c7c8437049f,2025/05/18 13:12,8,5,2
082623bf-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,3,6,10
2a43f4e2-4102-482e-8879-245cf7555c6b,2025/05/18 13:12,0,0,26
08254284-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,2,6,16
0824a703-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,4,18
2070121870129475816,2025/05/18 13:12,0,0,10
08261d9d-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,2,6,14
08252b28-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,5,14
066fd95e-0d37-4eea-a027-88c04277bb9d,2025/05/18 13:12,1,1,11
83c9bc80-bc42-4e5d-9f5e-6c24812e6e37,2025/05/18 13:12,0,3,14
c98241f4-a3c0-4eb8-86bd-dd057baa0192,2025/05/18 13:12,0,8,4
0824c772-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,11,23
f08db1df-054a-46c8-a3e1-b349f2a26d5e,2025/05/18 13:12,0,3,8
8d68e4db-0bc9-440a-9b27-5d34ed1b93c9,2025/05/18 13:12,0,2,9
68eaf9f5-7b2d-4f60-9f02-9f5ba1103f80,2025/05/18 13:12,1,3,14
0825213e-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,3,7
f0101beb-a103-46e4-93f5-c7880b85411b,2025/05/18 13:12,0,6,6
082644bc-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,12,6
082514b8-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,3,11
0826139b-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,0,18
cdeeb133-ccd7-418f-a8d7-0b5c5380a8ae,2025/05/18 13:12,1,8,6
6edca550-d78f-4c5d-ad2c-79d1ce88c48d,2025/05/18 13:12,0,11,7
0825ff8d-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,10,5
1999699654561182176,2025/05/18 13:12,0,6,9
5dfab137-f65a-41c0-99ef-d58f29a735b2,2025/05/18 13:12,1,2,15
2061579755230425156,2025/05/18 13:12,1,8,10
0825201c-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,12,2
0825be94-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,1,5
082480f1-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,5,5
082547de-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,10,3
08246df5-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,10,8
6e652351-dad9-45e4-a0a7-dda0417973f4,2025/05/18 13:12,0,3,8
0a5dbbe0-1325-49af-9fca-f0748ca06dc0,2025/05/18 13:12,0,5,10
0824d0c6-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,44,10
08253c6b-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,5,10
0825e3b0-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,1,15
fbbeab20-556d-4275-98a9-f84d316c157f,2025/05/18 13:12,0,16,2
6d5ad96d-a704-4fa6-8b65-3ac643c5aa93,2025/05/18 13:12,0,5,13
082518eb-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,2,11,2
08251448-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,16,3
08255063-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,0,16
6ffb5d30-d3f4-462b-8182-c552bebc9310,2025/05/18 13:12,0,8,11
1934289487117353510,2025/05/18 13:12,2,6,7
0826345e-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,12,2
0825525a-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,0,14
e823318f-8406-4230-8072-1667f5de78d4,2025/05/18 13:12,0,2,21
08254442-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,7,9
08247fe1-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,8,3
0824ea2c-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,8,4
a2507ccc-aca1-48b2-a6a3-a3144ad92d21,2025/05/18 13:12,3,8,8
08256fcd-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,3,5
