station_id,timestamp,ebikes_available,classic_bikes_available,docks_available
0824773f-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,0,20
1879766346478500482,2025/06/28 09:12,0,7,12
08261d9d-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,2,21
1999699654561182176,2025/06/28 09:12,0,9,6
3d8b6392-9572-4c65-b71c-fd8f03af9ab2,2025/06/28 09:12,0,2,9
08256d91-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,10,16
0824d0c6-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,17,27,9
cdeeb133-ccd7-418f-a8d7-0b5c5380a8ae,2025/06/28 09:12,0,0,6
a2507ccc-aca1-48b2-a6a3-a3144ad92d21,2025/06/28 09:12,0,6,13
08255063-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,7,11
08257325-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,5,8
68eaf9f5-7b2d-4f60-9f02-9f5ba1103f80,2025/06/28 09:12,1,5,13
84a0159b-5f00-417a-8f06-6c7c8437049f,2025/06/28 09:12,0,7,8
0825faf6-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,8,7
d72b1790-0fea-4af8-9d2a-fd4d4db24d1a,2025/06/28 09:12,1,11,2
08263fbd-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,4,15
082480f1-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,5,6
2061578790793374684,2025/06/28 09:12,0,1,15
082624fc-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,7,13
082520aa-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,10,8
2077910615087598254,2025/06/28 09:12,2,2,11
0824c229-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,8,10,14
08247fe1-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,2,5,0
6edca550-d78f-4c5d-ad2c-79d1ce88c48d,2025/06/28 09:12,1,9,8
2070121870129475816,2025/06/28 09:12,0,6,5
0825f723-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,5,13
0824a703-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,1,22
2061579755230425156,2025/06/28 09:12,3,9,8
8d68e4db-0bc9-440a-9b27-5d34ed1b93c9,2025/06/28 09:12,0,2,10
08252b28-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,3,0,16
0825ff8d-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,15,0
f08db1df-054a-46c8-a3e1-b349f2a26d5e,2025/06/28 09:12,0,0,11
c98241f4-a3c0-4eb8-86bd-dd057baa0192,2025/06/28 09:12,0,4,7
08258475-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,0,9
08256ac9-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,1,23
1934289487117353510,2025/06/28 09:12,0,9,6
1932168474073292810,2025/06/28 09:12,0,8,11
0824ea2c-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,12,3
e976c0ab-bc21-42b3-a2c2-b90def6f54f4,2025/06/28 09:12,0,7,5
12b1c990-90e7-4fef-a5b9-c78d4c81af96,2025/06/28 09:12,0,4,15
2080485651052569546,2025/06/28 09:12,1,7,7
08254284-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,22,0
0826345e-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,9,6
082569e6-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,2,6
0825b553-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,0,15
0825be05-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,7,11
08260472-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,1,11
082595a1-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,3,12
0826139b-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,5,14
08253b95-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,12,3
1917259666206632502,2025/06/28 09:12,0,6,11
0824bce1-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,6,13
08253a4b-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,14,0
3af8c81c-b8d8-4af7-afe9-332a2cac4672,2025/06/28 09:12,0,15,1
85c2fb24-d241-4550-8968-2cdf85462af7,2025/06/28 09:12,1,9,2
a3761e59-db36-4b61-8bb3-8d523af69b96,2025/06/28 09:12,0,5,10
a07bd5e0-5136-4285-ae23-54a74124957e,2025/06/28 09:12,0,3,14
0136af02-2670-4042-b5cd-18b46c15c0c1,2025/06/28 09:12,0,4,8
8d8a3add-40b4-41ba-bffe-5a754ebc1625,2025/06/28 09:12,1,7,6
83c9bc80-bc42-4e5d-9f5e-6c24812e6e37,2025/06/28 09:12,0,5,12
0825ac97-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,5,5
2069025384409258804,2025/06/28 09:12,0,4,4
0825610d-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,7,8
0a5dbbe0-1325-49af-9fca-f0748ca06dc0,2025/06/28 09:12,0,6,9
987decdd-577d-4614-a6eb-307944a634b4,2025/06/28 09:12,6,3,6
0826183f-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,6,13
066fd95e-0d37-4eea-a027-88c04277bb9d,2025/06/28 09:12,4,0,11
13c42471-96ab-441d-9a4c-bc57f7af6f9b,2025/06/28 09:12,0,0,11
472dee60-f045-4f2e-9807-193e3ae9b661,2025/06/28 09:12,2,3,6
08254943-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,14,5
08246df5-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,10,7
f0101beb-a103-46e4-93f5-c7880b85411b,2025/06/28 09:12,4,6,2
7a19d0e7-2b3c-4805-b843-1aec84a05bfe,2025/06/28 09:12,1,0,18
1890204129337198944,2025/06/28 09:12,0,6,5
08263cab-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,6,12
082605b0-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,2,15,1
0825201c-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,0,14
dfa896d9-9209-413d-b494-e255ef513d2c,2025/06/28 09:12,0,15,1
082547de-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,7,8
082644bc-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,10,9
0825e56c-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,0,18
08263959-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,5,6
08263aa1-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,4,14
08254442-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,4,15
2025978688145375308,2025/06/28 09:12,0,3,9
08262494-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,1,14
1874573898176678104,2025/06/28 09:12,0,9,3
08259c89-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,1,13
082514b8-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,1,11
fbbeab20-556d-4275-98a9-f84d316c157f,2025/06/28 09:12,0,6,12
08261e7a-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,2,20
082650b1-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,4,10
ad6ec1ce-db22-47c1-acf3-507897d40725,2025/06/28 09:12,0,0,10
0825aa94-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,4,15
1893303738183408178,2025/06/28 09:12,0,0,11
0825388d-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,2,16
